customer_id,recency_days,frequency,monetary_value,R_score,F_score,M_score,RFM_Score,Segment,Weighted_RFM_Score,Advanced_Segment,email,first_name,last_name
2001.0,91,2,203.92000000000002,4,1,1,6,At Risk,7,At Risk,eha.aas@telia.ee,Eha,Aas
2004.0,71,2,1198.56,4,1,4,9,Potential,13,Regular Customers,jaak.talvik@mail.ee,Jaak,Talvik
2005.0,148,4,959.5999999999999,3,4,3,10,Loyal,13,Regular Customers,raivo.koppel@yahoo.com,Raivo,Koppel
2006.0,477,1,327.06,1,1,1,3,Lost,4,Lost,,Aili,Must
2007.0,29,1,318.63,5,1,1,7,Potential,8,New Customers,ragnar.mannik@gmail.com,Ragnar,Männik
2008.0,76,5,1294.32,4,4,4,12,Loyal,16,Loyal Customers,kulli.paas@mail.ee,Külli,Paas
2009.0,224,2,472.36,2,1,2,5,At Risk,7,At Risk,madis.mitt@yahoo.com,Madis,Mitt
2012.0,304,3,841.5,2,3,3,8,Potential,11,Regular Customers,merle.kukk@outlook.com,Merle,Kukk
2013.0,145,2,364.20000000000005,3,1,2,6,At Risk,8,New Customers,,Elis,Oja
2014.0,430,4,914.7,1,4,3,8,Potential,11,Regular Customers,,Rain,Kivi
2015.0,13,2,345.24,5,1,1,7,Potential,8,New Customers,grete.rosin@telia.ee,Grete,Rosin
2016.0,588,1,664.26,1,1,3,5,At Risk,8,New Customers,,Marika,Lill
2017.0,386,4,904.65,1,4,3,8,Potential,11,Regular Customers,kadri.vaher@telia.ee,Kadri,Vaher
2018.0,222,3,1281.17,2,3,4,9,Potential,13,Regular Customers,marika.nurk@gmail.com,Marika,Nurk
2019.0,247,5,1653.15,2,4,5,11,Loyal,16,Loyal Customers,heino.tammik@mail.ee,Heino,Tammik
2020.0,97,3,923.9,4,3,3,10,Loyal,13,Regular Customers,heli.parn@telia.ee,Heli,Pärn
2022.0,194,5,814.1700000000001,3,4,3,10,Loyal,13,Regular Customers,liina.magi@yahoo.com,Liina,Mägi
2023.0,398,1,583.71,1,1,2,4,At Risk,6,At Risk,reet.kivi@hot.ee,Reet,Kivi
2024.0,32,2,345.93,5,1,1,7,Potential,8,New Customers,rain.lohmus@outlook.com,Rain,Lõhmus
2025.0,70,7,1952.71,4,5,5,14,VIP Champions,19,VIP Champions,vaino.lepik@gmail.com,Väino,Lepik
2026.0,83,6,1755.08,4,5,5,14,VIP Champions,19,VIP Champions,kati.mitt@gmail.com,Kati,Mitt
2027.0,65,4,1357.05,4,4,4,12,Loyal,16,Loyal Customers,heli.laas@mail.ee,Heli,Laas
2028.0,107,3,496.83000000000004,4,3,2,9,Potential,11,Regular Customers,tiina.saar@telia.ee,Tiina,Saar
2029.0,708,2,1796.8400000000001,1,1,5,7,Potential,12,Regular Customers,meelis.lill@gmail.com,Meelis,Lill
2030.0,160,2,2391.13,3,1,5,9,Potential,14,Loyal Customers,rein.lill@hot.ee,Rein,Lill
2031.0,115,6,2052.0499999999997,4,5,5,14,VIP Champions,19,VIP Champions,ants.kangur@mail.ee,Ants,Kangur
2032.0,117,1,215.58,4,1,1,6,At Risk,7,At Risk,tiit.toom@gmail.com,Tiit,Toom
2033.0,140,4,1408.1999999999998,3,4,4,11,Loyal,15,Loyal Customers,rein.teder@hot.ee,Rein,Teder
2034.0,104,5,1431.18,4,4,4,12,Loyal,16,Loyal Customers,pille.lepik@hot.ee,Pille,Lepik
2035.0,241,3,1481.19,2,3,5,10,Loyal,15,Loyal Customers,mihkel.parn@gmail.com,Mihkel,Pärn
2036.0,110,2,571.48,4,1,2,7,Potential,9,New Customers,sigrid.pold@gmail.com,Sigrid,Põld
2037.0,60,4,975.45,5,4,3,12,Loyal,15,Loyal Customers,lea.veski@telia.ee,Lea,Veski
2038.0,293,1,1484.2,2,1,5,8,Potential,13,Regular Customers,juri.kask@telia.ee,Jüri,Kask
2040.0,134,3,453.53999999999996,3,3,2,8,Potential,10,New Customers,liina.lepp@outlook.com,Liina,Lepp
2041.0,504,3,1534.16,1,3,5,9,Potential,14,Loyal Customers,riina.roots@yahoo.com,Riina,Roots
2042.0,152,3,242.5,3,3,1,7,Potential,8,New Customers,merike.laas@hot.ee,Merike,Laas
2044.0,107,4,630.72,4,4,2,10,Loyal,12,Regular Customers,lauri.aas@outlook.com,Lauri,Aas
2046.0,98,7,1422.57,4,5,4,13,VIP Champions,17,VIP Champions,henri.lepik@telia.ee,Henri,Lepik
2047.0,312,1,196.91,2,1,1,4,At Risk,5,At Risk,ants.lepp@yahoo.com,Ants,Lepp
2048.0,114,2,264.74,4,1,1,6,At Risk,7,At Risk,mart.mets@outlook.com,Mart,Mets
2049.0,117,5,1921.0299999999997,4,4,5,13,VIP Champions,18,VIP Champions,raivo.salu@yahoo.com,Raivo,Salu
2050.0,117,2,263.96,4,1,1,6,At Risk,7,At Risk,,Tiina,Toom
2051.0,47,3,956.89,5,3,3,11,Loyal,14,Loyal Customers,,Ene,Arro
2052.0,143,3,1073.25,3,3,4,10,Loyal,14,Loyal Customers,annika.jarv@hot.ee,Annika,Järv
